0 - LUZ e AMBIENTE	1 - ESTRUTURA	2 - FECHAMENTOS	3 - REVESTIMENTOS	4 - ESQUADRIAS	5 - HIDRÁULICA GÁS	6 - ELÉTRICA	7 - MARMORARIA	8 - MARCENARIA	9 - MÓVEIS	10 - AMBIENTAÇÃO
0 - LUZ	1 - COLUNA	2 - BASE MURETA	3 - ESPELHO	4 - CAIXONETE	5 - BACIAS	6 - ELETRÔNICOS	7 - BANCADA	8 - ARMÁRIO	9 - ARMÁRIO	10 - ADORNOS
0 - OUTRO	1 - ESCADA	2 - CONSTRUIR	3 - OUTRO	4 - FECHAMENTO DE VIDRO	5 - CUBAS	6 - ELÉTRICOS	7 - FRONTISPÍCIO	8 - FERRAGEM	9 - ASSENTO	10 - OBJETOS
0 - PAISAGEM	1 - LAJE	2 - CONTRAPISO	3 - PAREDE	4 - GUARDA CORPO	5 - LEG GÁS	6 - LEG INTERRUPTOR	7 - OUTRO	8 - GABINETE	9 - MESA	10 - OUTRO
0 - xREF	1 - OUTRO	2 - DEMOLIR	3 - PISO	4 - JANELA	5 - LEG HIDROSANIT	6 - LEG TOMADA	7 - PEITORIL	8 - GAVETA	9 - OUTRO	10 - QUADRO
	1 - VIGA	2 - DIVISÓRIA	3 - RODAPÉ	4 - OUTRO	5 - METAIS	6 - LUMINÁRIA	7 - SOLEIRA	8 - NICHO		10 - TAPETE
		2 - FERRAGEM		4 - PORTA	5 - OUTRAS LOUÇAS	6 - OUTRO	7 - TENTO	8 - OUTRO		10 - VEGETAÇÃO
		2 - FORRO			5 - OUTRO	6 - TOMADAS INTERRUPTORES		8 - PAINEL		
		2 - OUTRO			5 - PONTO GÁS			8 - PORTA		
		2 - PAREDE			5 - PONTO HIDROSANIT			8 - PRATELEIRA		
